"eviction_id","address","city","state","zip","file_date","non_payment","breach","nuisance","illegal_use","failure_to_sign_renewal","access_denial","unapproved_subtenant","owner_move_in","demolition","capital_improvement","substantial_rehab","ellis_act_withdrawal","condo_conversion","roommate_same_unit","other_cause","late_payments","lead_remediation","development","good_samaritan_ends","constraints_date","supervisor_district","neighborhood","client_location","shape",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_fyvs_ahh9",":@computed_region_p5aj_wyqh",":@computed_region_rxqg_mtj9",":@computed_region_yftq_j783",":@computed_region_bh8s_q3mv",":@computed_region_9jxd_iqea",":@computed_region_6ezc_tdp2",":@computed_region_6pnf_4xz7",":@computed_region_h4ep_8xdi",":@computed_region_pigm_ib2e",":@computed_region_jwn9_ihcz"
"M221006","700 Block Of Bush  Street","San Francisco","CA","94108","2022-07-06T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.40962 37.790062)",,,,,,,,,,,,,,,"16"
"M220809","3100 Block Of Mission  Street","San Francisco","CA","94115","2022-05-24T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"9","Bernal Heights",,"POINT (-122.41971 37.745895)",,,,,,,,,,,,,,,"83"
"M220262","500 Block Of Beale  Street","San Francisco","CA","94105","2022-02-14T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Financial District/South Beach",,"POINT (-122.38909 37.78578)",,,,,,,,,,,,,,,"31"
"M220033","1100 Block Of Pine  Street","San Francisco","CA","94108","2022-01-05T00:00:00.000","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.41494 37.79034)",,,,,,,,,,,,,,,"16"
"M211085","100 Block Of Brookdale  Avenue","San Francisco","CA","94134","2021-08-09T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M210913","12300 Block Of Great  Highway","San Francisco","CA","94122","2021-07-02T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M210425","400 Block Of Eddy  Street","San Francisco","CA","94102","2021-03-25T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"5","Tenderloin",,"POINT (-122.41508 37.783627)",,,,,,,,,,,,,,,"20"
"M201619","300 Block Of Brighton  Avenue","San Francisco","CA","94112","2020-11-12T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M201266","600 Block Of Mission  Street","San Francisco","CA","94015","2020-09-02T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"6","Financial District/South Beach",,"POINT (-122.40166 37.786556)",,,,,,,,,,,,,,,"32"
"M200675","100 Block Of Waller  Street","San Francisco","CA","94102","2020-05-05T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M193089","1100 Block Of Larkin  Street","San Francisco","CA","94108","2019-11-26T00:00:00.000","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.418526 37.788204)",,,,,,,,,,,,,,,"50"
"M192261","1700 Block Of Turk  Street","San Francisco","CA","94102","2019-09-09T00:00:00.000","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false",,"5","Western Addition",,"POINT (-122.4375 37.77982)",,,,,,,,,,,,,,,"97"
"M192133","1800 Block Of Mason  Street","San Francisco","CA","94103","2019-08-21T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"3","Russian Hill",,"POINT (-122.41251 37.800182)",,,,,,,,,,,,,,,"107"
"M191847","2000 Block Of California  Street","San Francisco","CA","94115","2019-08-05T00:00:00.000","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"2","Pacific Heights",,"POINT (-122.42809 37.789642)",,,,,,,,,,,,,,,"102"
"M190601","0 Block Of Whaleship  Plaza","San Francisco","CA","94111","2019-03-22T00:00:00.000","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,,,,,,,,,,,,,,,,,,,
"M190294","900 Block Of Bush  Street","San Francisco","CA","94109","2019-02-14T00:00:00.000","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"3","Nob Hill",,"POINT (-122.41292 37.78964)",,,,,,,,,,,,,,,"50"
"M183357","3300 Block Of 21st  Street","San Francisco","CA","94102","2018-12-19T00:00:00.000","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"9","Mission",,"POINT (-122.42223 37.75684)",,,,,,,,,,,,,,,"52"
